,TIC ID,TOI,RA,Dec,RA_deg,Dec_deg,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date,Spectra?,NIRC2?,Best imaging contrast
54600,434260570,2455.01,04:16:58.52,14:46:17.62,64.24383333333333,14.771561111111112,PC,3,4,4,3,4,4,4,3553.0,4.720488987875,2.0676873e-06,11.505,0.022,10.856,0.022,10.654,0.018,0.504,2.92,2021-10-29,False,False,6.837
54396,459837008,2267.02,04:20:14.76,84:54:02.97,65.0615,84.90082500000001,PC,2,4,4,2,3,4,4,3022.0,2.0344366336269,1.1877154e-05,10.353,0.023,9.765,0.028,9.459,0.022,0.384,1.55,2021-12-09,False,False,5.29
54386,459837008,2267.01,04:20:14.76,84:54:02.97,65.0615,84.90082500000001,CP,2,4,4,2,4,4,4,3022.0,3.4950422219278,8.661664e-06,10.353,0.023,9.765,0.028,9.459,0.022,0.384,1.55,2021-12-09,False,False,5.29
54406,459837008,2267.03,04:20:14.76,84:54:02.97,65.0615,84.90082500000001,CP,1,4,4,1,4,4,4,3022.0,2.2891026682654,1.0029597e-05,10.353,0.023,9.765,0.028,9.459,0.022,0.384,1.55,2021-12-09,False,False,5.29
68851,58372253,5328.01,04:21:10.41,27:10:04.51,65.29337499999998,27.167919444444447,PC,3,4,3,3,4,4,4,6119.8,5.4886518,0.0004019,10.047,0.022,9.63,0.028,9.432,0.017,1.391,6.0,2022-11-28,True,False,7.4
59955,58472992,4625.01,04:22:36.84,25:41:59.56,65.6535,25.69987777777778,PC,2,4,2,2,4,4,4,4384.23,2.1913419945134,6.7423584e-06,9.5,0.022,8.933,0.024,8.814,0.023,0.955,1.869,2023-11-27,True,False,6.8
57724,417942201,3718.01,04:22:51.28,41:07:31.13,65.71366666666665,41.12531388888889,PC,3,4,3,3,3,4,4,6455.1,4.230596,0.0020719,11.382,0.022,11.088,0.031,11.017,0.023,0.933,4.3,2022-02-17,True,False,5.2
56108,362026280,2712.01,04:24:35.35,02:34:30.99,66.14729166666666,2.575275,PC,3,4,3,3,3,4,4,5140.1,3.078479,1.35e-05,12.268,0.024,11.902,0.026,11.852,0.026,0.382,0.67,2021-10-29,True,False,
57672,356322454,3709.01,04:31:10.88,59:09:34.43,67.79533333333333,59.15956388888889,PC,3,4,3,3,3,4,4,,3.250984610538,0.0006394532,12.14,0.023,11.77,0.031,11.637,0.026,0.526,1.86,2021-10-25,False,False,
57700,155351556,3716.01,04:32:01.39,36:00:44.91,68.00579166666665,36.012475,PC,3,4,4,3,3,4,4,4740.0,6.0985856,0.0006831,11.166,0.023,10.947,0.024,10.795,0.016,0.151,0.9,2022-02-17,True,False,5.6
54743,104986789,2578.01,04:32:12.5,52:15:09.56,68.05208333333333,52.252655555555556,PC,3,4,4,3,4,4,4,6427.8,3.4580018415387,0.00014853374,9.817,0.02,9.519,0.021,9.424,0.019,0.885,4.435,2021-11-11,True,False,5.898
59856,118820486,4609.01,04:41:29.81,21:15:27.84,70.37420833333333,21.257733333333334,PC,3,4,4,3,4,4,4,7461.4,2.6921752,3.8e-06,9.701,0.02,9.504,0.018,9.42,0.019,0.848,6.2,2022-12-01,True,False,6.9
59871,18373995,4617.01,04:44:05.44,22:34:03.37,71.02266666666667,22.56760277777778,PC,3,4,3,3,4,4,4,5752.44,3.4878753754239,2.729209e-06,11.53,0.021,11.109,0.016,11.017,0.017,0.788,4.4,2022-12-24,True,True,7.63
54666,117938087,2482.01,04:46:04.38,-15:20:36.35,71.51825,-15.343430555555557,PC,2,4,2,2,3,4,4,4779.1,14.9315582,0.0002251,8.661,0.03,8.156,0.055,7.954,0.026,0.4176,2.3,2021-03-01,True,False,7.2
38867,156724719,1653.01,04:48:07.64,39:58:00.97,72.03183333333332,39.96693611111111,PC,3,4,3,3,4,4,4,7106.5,10.9568722,8.2e-06,8.958,0.018,8.901,0.015,8.826,0.014,0.172,1.6,2020-10-18,True,False,7.3
56106,457202957,2706.01,04:48:50.59,02:28:33.42,72.21079166666665,2.47595,PC,3,4,3,3,3,4,4,5807.0,1.8851834,0.0008097,12.612,0.023,12.271,0.027,12.156,0.026,1.088,2.69,2021-10-29,False,False,
59172,468396217,4133.01,05:00:25.1,69:49:14.66,75.10458333333332,69.82073888888888,PC,3,4,3,3,3,4,4,5766.9,4.1571604,1.47e-05,12.261,0.026,12.008,0.03,11.914,0.024,0.537,2.4,2023-08-07,True,False,4.6
