# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jul 03 15:41:36 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,TESS mag,J mag,H mag,K mag,Stellar Companion Filter Name,Stellar Companion Filter,Stellar Companion notes,Stellar Companion user,Stellar Companion Separation,Stellar Companion Separation Unc.,Stellar Companion Position angle,Stellar Companion Position angle Unc.,Stellar Companion Delta mag,Stellar Companion Delta mag Unc.,Stellar Companion Observation date,Stellar Companion Tag
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,3,4,3,3,3,4,4,8.4331,8.552,8.578,8.64,562,562 (54) nm,,furlan,0.26,,34.6,,3.24,,2021-02-23,95102
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,3,4,3,3,3,4,4,8.4331,8.552,8.578,8.64,832,832 (40) nm,,furlan,0.26,,36.8,,3.02,,2021-02-23,95102
16288184,1049.01,16:55:04.52,-28:42:38.1,KP,5,5,5,5,5,5,5,11.0657,10.508,10.268,10.217,I,879 (289) nm,,ziegler,1.2782,,154.2,,5.6,,2019-08-12,16127
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,Brgamma,,Assuming companion is bound and based on delta_mag, star has estimated spectral type of K7V,ciardi,0.121,0.01,209.7,0.1,1.3345,0.0062,2021-06-22,97902
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,562,562 (54) nm,,furlan,0.094,,214.4,,1.45,,2020-02-17,18256
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,832,832 (40) nm,,furlan,0.106,,214,,1.66,,2020-02-17,18256
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,Kcont,,Zhang et al. (2025b),jzhang,0.1206,0.005,214.4,2,1.8,0.1,2023-06-24,460674
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,Kcont,,Zhang et al. (2025b),jzhang,0.1183,0.005,212.6,2.5,2,0.1,2022-06-02,460674
198213332,1131.01,16:33:44.05,61:43:06,PC,3,4,3,4,4,4,4,9.2872,8.631,8.23,8.17,Kcont,,Zhang et al. (2025b),jzhang,0.1186,0.005,214.4,2.5,1.6,,2023-02-09,460674
154872375,1135.01,12:53:35.13,85:07:46.18,CP,4,4,4,4,4,4,4,9.02855,8.458,8.265,8.192,I,,,safonov,0.95,0.013,256.17,0.73,5.4,0.3,2023-12-30,440278
154872375,1135.01,12:53:35.13,85:07:46.18,CP,4,4,4,4,4,4,4,9.02855,8.458,8.265,8.192,832,832 (40) nm,NESSI@WIYN,everett,0.973,,252.584,,5.39,,2022-04-21,416966
154872375,1135.01,12:53:35.13,85:07:46.18,CP,4,4,4,4,4,4,4,9.02855,8.458,8.265,8.192,832,832 (40) nm,,deveny,0.031,,14.4,,0.42,,2025-04-14,454121
154872375,1135.01,12:53:35.13,85:07:46.18,CP,4,4,4,4,4,4,4,9.02855,8.458,8.265,8.192,832,832 (40) nm,uncertain fit,deveny,0.962,,253.8,,5.59,,2025-04-14,454121
154872375,1135.01,12:53:35.13,85:07:46.18,CP,4,4,4,4,4,4,4,9.02855,8.458,8.265,8.192,832,832 (40) nm,NESSI@WIYN,everett,0.967,,253.589,,5.12,,2026-05-07,473595
158324245,1161.01,19:07:53.13,46:52:05.69,KP,5,5,5,5,5,5,5,10.2306,9.466,9.455,9.425,i,,B; Extracted from Furlan et al. 2017 compilation, <a href=http://adsabs.harvard.edu/abs/2016AJ....152....8K target=_blank>10</a>, <a href=http://adsabs.harvard.edu/abs/2014ApJ...791...35L target=_blank>11</a>, <a href=http://adsabs.harvard.edu/abs/2017AJ....153...71F target=_blank>19</a>; Extracted KOI13 from ExoFOP-Kepler on 2020-08-28,furlan,1.144,0.083,279.7,4.3,0.19,0.06,,33868
158324245,1161.01,19:07:53.13,46:52:05.69,KP,5,5,5,5,5,5,5,10.2306,9.466,9.455,9.425,562,562 (45) nm,B; Extracted from Furlan et al. 2017 compilation, <a href=http://adsabs.harvard.edu/abs/2016AJ....152....8K target=_blank>10</a>, <a href=http://adsabs.harvard.edu/abs/2014ApJ...791...35L target=_blank>11</a>, <a href=http://adsabs.harvard.edu/abs/2017AJ....153...71F target=_blank>19</a>; Extracted KOI13 from ExoFOP-Kepler on 2020-08-28,furlan,1.144,0.083,279.7,4.3,1.008,0.276,,33868
